"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"B1";"DC-DC-STEP-DOWN-MP1584";1;"BUCK-MP1584";;;
2;"C1";"CP_Radial_D6.3mm_P2.50mm";1;"100uF";;;
3;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"10uF";;;
4;"D1,D2";"D_A-405_P7.62mm_Horizontal";2;"BYV26E";;;
5;"J0";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"XL_CTRL";;;
6;"J10";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"XR_CTRL";;;
7;"J20";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"Y_CTRL";;;
8;"J30";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"Z_CTRL";;;
9;"J40";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"A_CTRL";;;
10;"J51,J53";"PinHeader_1x02_P2.54mm_Vertical";2;"0VTONC";;;
11;"J52,J54";"PinHeader_1x02_P2.54mm_Vertical";2;"5VTONO";;;
12;"J56";"PinHeader_1x08_P2.54mm_Vertical";1;"SPARE I";;;
13;"J57";"PinHeader_1x08_P2.54mm_Vertical";1;"5V";;;
14;"J58";"PinHeader_1x08_P2.54mm_Vertical";1;"3V3";;;
15;"J59";"PinHeader_1x08_P2.54mm_Vertical";1;"GND";;;
16;"J60";"PinHeader_1x06_P2.54mm_Vertical";1;"SD_CON1";;;
17;"J100";"PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical";1;"5V IN";;;
18;"K1";"SRA12VDCCL";1;"SRA-CL-MIST";;;
19;"K2";"SRA12VDCCL";1;"SRA-CL-SPINDLE";;;
20;"SV1,SV2";"PhoenixContact_MCV_1,5_3-G-5.08_1x03_P5.08mm_Vertical";2;"MA03-1";;;
21;"U1";"MODULE_ESP32-DEVKITC-32D";1;"ESP32-DEVKITC-32D";;;
22;"R7,R8,R27,R28,R37,R38,R51,R52,R17,R18,R47,R48";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";12;"330";;;
23;"Y_PUL1,XL_DIR1,Z_DIR1,XL_PUL1,A_DIR1,Y_DIR1,XR_PUL1,XR_DIR1,SPINDLE_REL1,A_PUL1,MIST_REL1,Z_PUL1";"TO-92_HandSolder";12;"BC637";;;
24;"R836,R822,R820,R834,R830,R832,R828,R824,R826";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";9;"300";;;
25;"C88,C80,C83,C87,C81,C86,C70,C84,C82,C71,C85";"C_Disc_D5.0mm_W2.5mm_P2.50mm";11;"100nF";;;
26;"R800,R803,R806,R802,R805,R808,R801,R807,R804";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";9;"220";;;
27;"U88,U90,U84,U82,U83,U87,U86,U89,U85";"DIP-4_W7.62mm";9;"PC817";;;
28;"R831,R70,R829,R821,R825,R823,R837,R827,R833,R835";"R_1210_3225Metric_Pad1.30x2.65mm_HandSolder";10;"10k";;;
29;"U70,U71";"DIP-16_W7.62mm_Socket";2;"74AHC595";;;
30;"J69";"PinHeader_1x08_P2.54mm_Vertical";1;"SPARE O";;;
31;"U80,U81";"DIP794W45P254L1969H508Q14";2;"CD40106BE";;;
32;"J85";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"PROBE";;;
33;"J81";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"LIMXR";;;
34;"J82";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"LIMY";;;
35;"J61";"PinHeader_1x04_P2.54mm_Vertical";1;"RS485";;;
36;"J86";"JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical";1;"TO_BUTTONBOX";;;
37;"J83";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"LIMZ";;;
38;"J84";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"LIMA";;;
39;"J80";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"LIMXL";;;
